path,year,wordcount,importance,pride,n_tags,tags
2024-06-29-marginal-rev.markdown,2024,14,5,,0,
2024-06-29-my-other-thesis.markdown,2024,769,6,,2,phd;navel-gazing
2024-06-29-my-thesis.markdown,2024,802,6,,0,
2024-06-29-phd-by-numbers.markdown,2024,1787,6,,2,phd;navel-gazing
2024-06-29-phd.markdown,2024,4226,4,,5,education;becoming;academia;machine-learning;phd
2024-06-29-phdiary.markdown,2024,3540,2,,2,phd;navel-gazing
2024-06-29-sunscreen.markdown,2024,2205,7,,0,
2024-09-03-everything.markdown,2024,491,6,,0,
2024-09-03-mitchell.markdown,2024,270,7,,1,ai
2024-09-30-leisure.markdown,2024,160,5,,0,
2024-09-30-live-writers-journo.markdown,2024,98,7,,0,
2024-10-01-fav-essays.markdown,2025,317,6,,2,greats;blogging
2024-10-01-laplace.markdown,2024,0,8,,2,maths;greats
2024-10-11-memento.markdown,2024,195,3,,3,navel-gazing;becoming;art
2024-10-26-dennis-announce.markdown,2024,204,6,,2,xrisk;book
2024-10-26-nonmonetary-arb.markdown,2024,383,6,,5,money;becoming;freedom;self-representation;economics
2024-10-29-i-see-the-light.markdown,2024,788,4,,2,music;becoming
2024-10-29-teen-genius.markdown,2024,348,7,,2,greats;maths
2024-11-06-everything-blogs.markdown,2024,65,6,,2,greats;blogging
2024-11-06-tplusplus.markdown,2024,1340,7,,1,ai
2024-11-06-words.markdown,2024,47,6,,0,
2024-11-29-aberdeen.markdown,2025,3802,4,,5,places;uni;lists;autobio;history
2024-11-29-bristol.markdown,2024,1002,4,,5,places;phd;uni;lists;art
2024-11-29-glasgow.markdown,2025,2593,4,,5,places;uni;lists;autobio;history
2024-12-27-gelman.markdown,2024,962,5,,5,science;philosophy;lists;bloggers;greats
2025-01-11-curated.markdown,2025,571,,,1,fiction
2025-01-18-acoemetae.markdown,2025,476,,,1,fiction
2025-01-29-ozy.markdown,2026,505,5,,8,science;social-science;mental-health;humanism;psychology;politics;bloggers;lists
2025-01-29-robnost.markdown,2024,4,5,,5,ai;science;philosophy;lists;bloggers
2025-01-29-taipei.markdown,2025,48,3,,2,places;lists
2025-01-29-unitofcaring.markdown,2024,23,5,,4,science;philosophy;lists;bloggers
2025-01-29-woolwich.markdown,2025,24,3,,0,
2025-02-04-2024.markdown,2025,1462,2,,0,
2025-02-20-pelly-spotify-listen.markdown,2025,2411,5,,4,music;art;capitalism;economics
2025-04-06-use-llms.markdown,2025,3654,8,,2,ai;lists
2025-04-26-elgin.markdown,2025,236,3,,3,places;uni;lists
2025-04-26-london.markdown,2024,0,3,,3,places;uni;lists
2025-05-10-against-hcast.markdown,2025,618,7,,0,
2025-05-20-Existentialistrisk.markdown,2025,1039,8,,0,
2025-06-20-narrative-dynamics-in-llms.markdown,2025,3741,7,,3,ai;literature;my-classes
2025-06-29-ambition.markdown,2025,427,7,,2,philosophy-of-life;work
2025-06-29-normie-transhumanism.markdown,2026,2560,7,,5,transhumanism;biology;philosophy;ethics;scifi
2025-06-29-rats-and-trads.markdown,2025,3033,6,,8,education;rationality;book;ethics-of-belief;greats;humanism;literature;philosophy
2025-06-29-types-of-theist.markdown,2025,1263,7,,7,philosophy;religion;becoming;criticism;egregores;social-science;ethics-of-belief
2025-07-06-ai-breakthroughs-4-5.markdown,2025,666,8,,0,
2025-07-06-albums2024.markdown,2025,2391,2,,3,music;lists;criticism
2025-08-10-erectus.markdown,2025,868,7,,4,my-classes;humanism;biology;evolutionary
2025-08-20-human-nature.markdown,2025,2804,8,,5,social-science;philosophy;humanism;tools-for-thought;espr
2025-09-10-nymusic.markdown,2025,2343,4,,3,places;music;hypothesis-dump
2025-09-10-tallinn.markdown,2025,7201,5,,4,places;lists;autobio;history
2025-10-09-prospective-science.markdown,2025,2435,7,,2,science;epistemology
2025-10-10-ai-analogies.markdown,2025,459,,,0,
2025-10-10-ai-editor.markdown,2025,2011,6,,2,ai;writing
2025-10-10-belgrade.markdown,2023,739,,,0,
2025-10-10-inference.markdown,2025,572,4,,2,ai;language
2025-10-10-prague.markdown,2025,64,3,,4,places;uni;lists;autobio
2025-10-28-god-in-maths.markdown,2025,288,6,,3,maths;encompassing;holes
2025-10-28-limits-to-inquiry-fail-to-answer.markdown,2025,4371,8,,13,philosophy;science;epistemology;maths;computers;lists;rationality;metaphysics;mind;research;conceptual-analysis;encompassing;holes
2025-11-09-jailbreaks-vs-alignment.markdown,2025,1987,8,,2,ai;alignment
2025-11-09-paper-ai-tigers.markdown,2025,5494,7,,2,ai;hypothesis-dump
2025-11-09-politics.markdown,2025,194,8,3,1,politics
2025-12-08-ai-analogies.markdown,2025,6315,7,,2,ai;lists
2026-01-03-varcrime.markdown,2026,749,8,3,3,maths;ethics;risk
2026-01-23-pessoa.markdown,2026,1435,,,3,greats;art;poem
2026-01-26-insincerity.markdown,2026,393,,,0,
